�ɼ�ʱ��,�ֿ�����,��λ����,��������,�豸���,�¶�(��),ʪ��(%RH),����(%),����ʱ��
2026-03-18 10:04:16,福建汉吉斯冷链物流有限公司,冷冻区1-1-B,1-1-B-01,TW125700122,-19.7,61,96,2026-03-18 09:58:02
2026-03-18 10:04:16,福建汉吉斯冷链物流有限公司,冷冻区1-1-B,1-1-B-02,TW125700178,-19.3,51,96,2026-03-18 09:58:58
2026-03-18 10:04:16,福建汉吉斯冷链物流有限公司,冷冻区1-1-C,1-1-C-01,TW125700279,-19.3,51,96,2026-03-18 10:02:39
2026-03-18 10:04:16,福建汉吉斯冷链物流有限公司,冷冻区1-1-C,1-1-C-02,TW125700193,-19.5,51,96,2026-03-18 09:59:13
2026-03-18 10:05:17,福建汉吉斯冷链物流有限公司,冷冻区1-1-A,1-1-A-01,TW125700177,-20.8,10,96,2026-03-18 09:56:57
2026-03-18 10:05:17,福建汉吉斯冷链物流有限公司,冷冻区1-1-A,1-1-A-02,TW125700107,-20.1,60,97,2026-03-18 09:49:47
2026-03-18 10:05:17,福建汉吉斯冷链物流有限公司,冷冻区1-1-B,1-1-B-01,TW125700122,-19.7,61,96,2026-03-18 09:58:02
2026-03-18 10:05:17,福建汉吉斯冷链物流有限公司,冷冻区1-1-B,1-1-B-02,TW125700178,-19.3,51,96,2026-03-18 09:58:58
2026-03-18 10:05:17,福建汉吉斯冷链物流有限公司,冷冻区1-1-C,1-1-C-01,TW125700279,-19.3,51,96,2026-03-18 10:02:39
2026-03-18 10:05:17,福建汉吉斯冷链物流有限公司,冷冻区1-1-C,1-1-C-02,TW125700193,-19.5,51,96,2026-03-18 09:59:13
2026-03-18 10:06:17,福建汉吉斯冷链物流有限公司,冷冻区1-1-A,1-1-A-01,TW125700177,-20.8,10,96,2026-03-18 09:56:57
2026-03-18 10:06:17,福建汉吉斯冷链物流有限公司,冷冻区1-1-A,1-1-A-02,TW125700107,-20.1,60,97,2026-03-18 10:04:47
2026-03-18 10:06:17,福建汉吉斯冷链物流有限公司,冷冻区1-1-B,1-1-B-01,TW125700122,-19.7,61,96,2026-03-18 09:58:02
2026-03-18 10:06:17,福建汉吉斯冷链物流有限公司,冷冻区1-1-B,1-1-B-02,TW125700178,-19.3,51,96,2026-03-18 09:58:58
2026-03-18 10:06:17,福建汉吉斯冷链物流有限公司,冷冻区1-1-C,1-1-C-01,TW125700279,-19.3,51,96,2026-03-18 10:02:39
2026-03-18 10:06:17,福建汉吉斯冷链物流有限公司,冷冻区1-1-C,1-1-C-02,TW125700193,-19.5,51,96,2026-03-18 09:59:13
2026-03-18 10:07:17,福建汉吉斯冷链物流有限公司,冷冻区1-1-A,1-1-A-01,TW125700177,-20.8,10,96,2026-03-18 09:56:57
2026-03-18 10:07:17,福建汉吉斯冷链物流有限公司,冷冻区1-1-A,1-1-A-02,TW125700107,-20.1,60,97,2026-03-18 10:04:47
2026-03-18 10:07:17,福建汉吉斯冷链物流有限公司,冷冻区1-1-B,1-1-B-01,TW125700122,-19.7,61,96,2026-03-18 09:58:02
2026-03-18 10:07:17,福建汉吉斯冷链物流有限公司,冷冻区1-1-B,1-1-B-02,TW125700178,-19.3,51,96,2026-03-18 09:58:58
2026-03-18 10:07:17,福建汉吉斯冷链物流有限公司,冷冻区1-1-C,1-1-C-01,TW125700279,-19.3,51,96,2026-03-18 10:02:39
2026-03-18 10:07:17,福建汉吉斯冷链物流有限公司,冷冻区1-1-C,1-1-C-02,TW125700193,-19.5,51,96,2026-03-18 09:59:13
2026-03-18 10:08:17,福建汉吉斯冷链物流有限公司,冷冻区1-1-A,1-1-A-01,TW125700177,-20.8,10,96,2026-03-18 09:56:57
2026-03-18 10:08:17,福建汉吉斯冷链物流有限公司,冷冻区1-1-A,1-1-A-02,TW125700107,-20.1,60,97,2026-03-18 10:04:47
2026-03-18 10:08:17,福建汉吉斯冷链物流有限公司,冷冻区1-1-B,1-1-B-01,TW125700122,-19.7,61,96,2026-03-18 09:58:02
2026-03-18 10:08:17,福建汉吉斯冷链物流有限公司,冷冻区1-1-B,1-1-B-02,TW125700178,-19.3,51,96,2026-03-18 09:58:58
2026-03-18 10:08:17,福建汉吉斯冷链物流有限公司,冷冻区1-1-C,1-1-C-01,TW125700279,-19.3,51,96,2026-03-18 10:02:39
2026-03-18 10:08:17,福建汉吉斯冷链物流有限公司,冷冻区1-1-C,1-1-C-02,TW125700193,-19.5,51,96,2026-03-18 09:59:13
2026-03-18 10:09:17,福建汉吉斯冷链物流有限公司,冷冻区1-1-A,1-1-A-01,TW125700177,-20.8,10,96,2026-03-18 09:56:57
2026-03-18 10:09:17,福建汉吉斯冷链物流有限公司,冷冻区1-1-A,1-1-A-02,TW125700107,-20.1,60,97,2026-03-18 10:04:47
2026-03-18 10:09:17,福建汉吉斯冷链物流有限公司,冷冻区1-1-B,1-1-B-01,TW125700122,-19.7,61,96,2026-03-18 09:58:02
2026-03-18 10:09:17,福建汉吉斯冷链物流有限公司,冷冻区1-1-B,1-1-B-02,TW125700178,-19.3,51,96,2026-03-18 09:58:58
2026-03-18 10:09:17,福建汉吉斯冷链物流有限公司,冷冻区1-1-C,1-1-C-01,TW125700279,-19.3,51,96,2026-03-18 10:02:39
2026-03-18 10:09:17,福建汉吉斯冷链物流有限公司,冷冻区1-1-C,1-1-C-02,TW125700193,-19.5,51,96,2026-03-18 09:59:13
2026-03-18 10:10:43,福建汉吉斯冷链物流有限公司,冷冻区1-1-A,1-1-A-01,TW125700177,-20.8,10,96,2026-03-18 09:56:57
2026-03-18 10:10:43,福建汉吉斯冷链物流有限公司,冷冻区1-1-A,1-1-A-02,TW125700107,-20.1,60,97,2026-03-18 10:04:47
2026-03-18 10:10:43,福建汉吉斯冷链物流有限公司,冷冻区1-1-B,1-1-B-01,TW125700122,-19.7,61,96,2026-03-18 09:58:02
2026-03-18 10:10:43,福建汉吉斯冷链物流有限公司,冷冻区1-1-B,1-1-B-02,TW125700178,-19.3,51,96,2026-03-18 09:58:58
2026-03-18 10:10:43,福建汉吉斯冷链物流有限公司,冷冻区1-1-C,1-1-C-01,TW125700279,-19.3,51,96,2026-03-18 10:02:39
2026-03-18 10:10:43,福建汉吉斯冷链物流有限公司,冷冻区1-1-C,1-1-C-02,TW125700193,-19.5,51,96,2026-03-18 09:59:13
2026-03-18 10:13:43,福建汉吉斯冷链物流有限公司,冷冻区1-1-A,1-1-A-01,TW125700177,-20.7,10,96,2026-03-18 10:11:57
2026-03-18 10:13:43,福建汉吉斯冷链物流有限公司,冷冻区1-1-A,1-1-A-02,TW125700107,-20.1,60,97,2026-03-18 10:04:47
2026-03-18 10:13:43,福建汉吉斯冷链物流有限公司,冷冻区1-1-B,1-1-B-01,TW125700122,-19.7,61,96,2026-03-18 09:58:02
2026-03-18 10:13:43,福建汉吉斯冷链物流有限公司,冷冻区1-1-B,1-1-B-02,TW125700178,-19.3,51,96,2026-03-18 09:58:58
2026-03-18 10:13:43,福建汉吉斯冷链物流有限公司,冷冻区1-1-C,1-1-C-01,TW125700279,-19.3,51,96,2026-03-18 10:02:39
2026-03-18 10:13:43,福建汉吉斯冷链物流有限公司,冷冻区1-1-C,1-1-C-02,TW125700193,-19.5,51,96,2026-03-18 09:59:13
2026-03-18 10:16:43,福建汉吉斯冷链物流有限公司,冷冻区1-1-A,1-1-A-01,TW125700177,-20.7,10,96,2026-03-18 10:11:57
2026-03-18 10:16:43,福建汉吉斯冷链物流有限公司,冷冻区1-1-A,1-1-A-02,TW125700107,-20.1,60,97,2026-03-18 10:04:47
2026-03-18 10:16:43,福建汉吉斯冷链物流有限公司,冷冻区1-1-B,1-1-B-01,TW125700122,-19.5,61,96,2026-03-18 10:13:02
2026-03-18 10:16:43,福建汉吉斯冷链物流有限公司,冷冻区1-1-B,1-1-B-02,TW125700178,-19.2,51,96,2026-03-18 10:13:58
2026-03-18 10:16:43,福建汉吉斯冷链物流有限公司,冷冻区1-1-C,1-1-C-01,TW125700279,-19.3,51,96,2026-03-18 10:02:39
2026-03-18 10:16:43,福建汉吉斯冷链物流有限公司,冷冻区1-1-C,1-1-C-02,TW125700193,-19.4,51,96,2026-03-18 10:14:13
2026-03-18 10:19:44,福建汉吉斯冷链物流有限公司,冷冻区1-1-A,1-1-A-01,TW125700177,-20.7,10,96,2026-03-18 10:11:57
2026-03-18 10:19:44,福建汉吉斯冷链物流有限公司,冷冻区1-1-A,1-1-A-02,TW125700107,-20.1,60,97,2026-03-18 10:04:47
2026-03-18 10:19:44,福建汉吉斯冷链物流有限公司,冷冻区1-1-B,1-1-B-01,TW125700122,-19.5,61,96,2026-03-18 10:13:02
2026-03-18 10:19:44,福建汉吉斯冷链物流有限公司,冷冻区1-1-B,1-1-B-02,TW125700178,-19.2,51,96,2026-03-18 10:13:58
2026-03-18 10:19:44,福建汉吉斯冷链物流有限公司,冷冻区1-1-C,1-1-C-01,TW125700279,-19.2,51,96,2026-03-18 10:17:39
2026-03-18 10:19:44,福建汉吉斯冷链物流有限公司,冷冻区1-1-C,1-1-C-02,TW125700193,-19.4,51,96,2026-03-18 10:14:13
2026-03-18 10:22:44,福建汉吉斯冷链物流有限公司,冷冻区1-1-A,1-1-A-01,TW125700177,-20.7,10,96,2026-03-18 10:11:57
2026-03-18 10:22:44,福建汉吉斯冷链物流有限公司,冷冻区1-1-A,1-1-A-02,TW125700107,-20.0,60,97,2026-03-18 10:19:47
2026-03-18 10:22:44,福建汉吉斯冷链物流有限公司,冷冻区1-1-B,1-1-B-01,TW125700122,-19.5,61,96,2026-03-18 10:13:02
2026-03-18 10:22:44,福建汉吉斯冷链物流有限公司,冷冻区1-1-B,1-1-B-02,TW125700178,-19.2,51,96,2026-03-18 10:13:58
2026-03-18 10:22:44,福建汉吉斯冷链物流有限公司,冷冻区1-1-C,1-1-C-01,TW125700279,-19.2,51,96,2026-03-18 10:17:39
2026-03-18 10:22:44,福建汉吉斯冷链物流有限公司,冷冻区1-1-C,1-1-C-02,TW125700193,-19.4,51,96,2026-03-18 10:14:13
2026-03-18 10:25:44,福建汉吉斯冷链物流有限公司,冷冻区1-1-A,1-1-A-01,TW125700177,-20.7,10,96,2026-03-18 10:11:57
2026-03-18 10:25:44,福建汉吉斯冷链物流有限公司,冷冻区1-1-A,1-1-A-02,TW125700107,-20.0,60,97,2026-03-18 10:19:47
2026-03-18 10:25:44,福建汉吉斯冷链物流有限公司,冷冻区1-1-B,1-1-B-01,TW125700122,-19.5,61,96,2026-03-18 10:13:02
2026-03-18 10:25:44,福建汉吉斯冷链物流有限公司,冷冻区1-1-B,1-1-B-02,TW125700178,-19.2,51,96,2026-03-18 10:13:58
2026-03-18 10:25:44,福建汉吉斯冷链物流有限公司,冷冻区1-1-C,1-1-C-01,TW125700279,-19.2,51,96,2026-03-18 10:17:39
2026-03-18 10:25:44,福建汉吉斯冷链物流有限公司,冷冻区1-1-C,1-1-C-02,TW125700193,-19.4,51,96,2026-03-18 10:14:13
2026-03-18 10:28:45,福建汉吉斯冷链物流有限公司,冷冻区1-1-A,1-1-A-01,TW125700177,-20.5,10,96,2026-03-18 10:26:57
2026-03-18 10:28:45,福建汉吉斯冷链物流有限公司,冷冻区1-1-A,1-1-A-02,TW125700107,-20.0,60,97,2026-03-18 10:19:47
2026-03-18 10:28:45,福建汉吉斯冷链物流有限公司,冷冻区1-1-B,1-1-B-01,TW125700122,-19.5,61,96,2026-03-18 10:13:02
2026-03-18 10:28:45,福建汉吉斯冷链物流有限公司,冷冻区1-1-B,1-1-B-02,TW125700178,-19.2,51,96,2026-03-18 10:13:58
2026-03-18 10:28:45,福建汉吉斯冷链物流有限公司,冷冻区1-1-C,1-1-C-01,TW125700279,-19.2,51,96,2026-03-18 10:17:39
2026-03-18 10:28:45,福建汉吉斯冷链物流有限公司,冷冻区1-1-C,1-1-C-02,TW125700193,-19.4,51,96,2026-03-18 10:14:13
2026-03-18 10:31:45,福建汉吉斯冷链物流有限公司,冷冻区1-1-A,1-1-A-01,TW125700177,-20.5,10,96,2026-03-18 10:26:57
2026-03-18 10:31:45,福建汉吉斯冷链物流有限公司,冷冻区1-1-A,1-1-A-02,TW125700107,-20.0,60,97,2026-03-18 10:19:47
2026-03-18 10:31:45,福建汉吉斯冷链物流有限公司,冷冻区1-1-B,1-1-B-01,TW125700122,-19.3,61,96,2026-03-18 10:28:02
2026-03-18 10:31:45,福建汉吉斯冷链物流有限公司,冷冻区1-1-B,1-1-B-02,TW125700178,-19.1,51,96,2026-03-18 10:28:58
2026-03-18 10:31:45,福建汉吉斯冷链物流有限公司,冷冻区1-1-C,1-1-C-01,TW125700279,-19.2,51,96,2026-03-18 10:17:39
2026-03-18 10:31:45,福建汉吉斯冷链物流有限公司,冷冻区1-1-C,1-1-C-02,TW125700193,-19.3,51,96,2026-03-18 10:29:13
2026-03-18 10:34:45,福建汉吉斯冷链物流有限公司,冷冻区1-1-A,1-1-A-01,TW125700177,-20.5,10,96,2026-03-18 10:26:57
2026-03-18 10:34:45,福建汉吉斯冷链物流有限公司,冷冻区1-1-A,1-1-A-02,TW125700107,-20.0,60,97,2026-03-18 10:19:47
2026-03-18 10:34:45,福建汉吉斯冷链物流有限公司,冷冻区1-1-B,1-1-B-01,TW125700122,-19.3,61,96,2026-03-18 10:28:02
2026-03-18 10:34:45,福建汉吉斯冷链物流有限公司,冷冻区1-1-B,1-1-B-02,TW125700178,-19.1,51,96,2026-03-18 10:28:58
2026-03-18 10:34:45,福建汉吉斯冷链物流有限公司,冷冻区1-1-C,1-1-C-01,TW125700279,-19.1,51,96,2026-03-18 10:32:39
2026-03-18 10:34:45,福建汉吉斯冷链物流有限公司,冷冻区1-1-C,1-1-C-02,TW125700193,-19.3,51,96,2026-03-18 10:29:13
2026-03-18 10:37:45,福建汉吉斯冷链物流有限公司,冷冻区1-1-A,1-1-A-01,TW125700177,-20.5,10,96,2026-03-18 10:26:57
2026-03-18 10:37:45,福建汉吉斯冷链物流有限公司,冷冻区1-1-A,1-1-A-02,TW125700107,-19.9,51,97,2026-03-18 10:34:47
2026-03-18 10:37:45,福建汉吉斯冷链物流有限公司,冷冻区1-1-B,1-1-B-01,TW125700122,-19.3,61,96,2026-03-18 10:28:02
2026-03-18 10:37:45,福建汉吉斯冷链物流有限公司,冷冻区1-1-B,1-1-B-02,TW125700178,-19.1,51,96,2026-03-18 10:28:58
2026-03-18 10:37:45,福建汉吉斯冷链物流有限公司,冷冻区1-1-C,1-1-C-01,TW125700279,-19.1,51,96,2026-03-18 10:32:39
2026-03-18 10:37:45,福建汉吉斯冷链物流有限公司,冷冻区1-1-C,1-1-C-02,TW125700193,-19.3,51,96,2026-03-18 10:29:13
2026-03-18 10:40:46,福建汉吉斯冷链物流有限公司,冷冻区1-1-A,1-1-A-01,TW125700177,-20.5,10,96,2026-03-18 10:26:57
2026-03-18 10:40:46,福建汉吉斯冷链物流有限公司,冷冻区1-1-A,1-1-A-02,TW125700107,-19.9,51,97,2026-03-18 10:34:47
2026-03-18 10:40:46,福建汉吉斯冷链物流有限公司,冷冻区1-1-B,1-1-B-01,TW125700122,-19.3,61,96,2026-03-18 10:28:02
2026-03-18 10:40:46,福建汉吉斯冷链物流有限公司,冷冻区1-1-B,1-1-B-02,TW125700178,-19.1,51,96,2026-03-18 10:28:58
2026-03-18 10:40:46,福建汉吉斯冷链物流有限公司,冷冻区1-1-C,1-1-C-01,TW125700279,-19.1,51,96,2026-03-18 10:32:39
2026-03-18 10:40:46,福建汉吉斯冷链物流有限公司,冷冻区1-1-C,1-1-C-02,TW125700193,-19.3,51,96,2026-03-18 10:29:13
2026-03-18 10:43:46,福建汉吉斯冷链物流有限公司,冷冻区1-1-A,1-1-A-01,TW125700177,-20.3,10,96,2026-03-18 10:41:57
2026-03-18 10:43:46,福建汉吉斯冷链物流有限公司,冷冻区1-1-A,1-1-A-02,TW125700107,-19.9,51,97,2026-03-18 10:34:47
2026-03-18 10:43:46,福建汉吉斯冷链物流有限公司,冷冻区1-1-B,1-1-B-01,TW125700122,-19.3,61,96,2026-03-18 10:28:02
2026-03-18 10:43:46,福建汉吉斯冷链物流有限公司,冷冻区1-1-B,1-1-B-02,TW125700178,-19.1,51,96,2026-03-18 10:28:58
2026-03-18 10:43:46,福建汉吉斯冷链物流有限公司,冷冻区1-1-C,1-1-C-01,TW125700279,-19.1,51,96,2026-03-18 10:32:39
2026-03-18 10:43:46,福建汉吉斯冷链物流有限公司,冷冻区1-1-C,1-1-C-02,TW125700193,-19.3,51,96,2026-03-18 10:29:13
2026-03-18 10:46:46,福建汉吉斯冷链物流有限公司,冷冻区1-1-A,1-1-A-01,TW125700177,-20.3,10,96,2026-03-18 10:41:57
2026-03-18 10:46:46,福建汉吉斯冷链物流有限公司,冷冻区1-1-A,1-1-A-02,TW125700107,-19.9,51,97,2026-03-18 10:34:47
2026-03-18 10:46:46,福建汉吉斯冷链物流有限公司,冷冻区1-1-B,1-1-B-01,TW125700122,-19.1,61,96,2026-03-18 10:43:02
2026-03-18 10:46:46,福建汉吉斯冷链物流有限公司,冷冻区1-1-B,1-1-B-02,TW125700178,-19.0,51,96,2026-03-18 10:43:58
2026-03-18 10:46:46,福建汉吉斯冷链物流有限公司,冷冻区1-1-C,1-1-C-01,TW125700279,-19.1,51,96,2026-03-18 10:32:39
2026-03-18 10:46:46,福建汉吉斯冷链物流有限公司,冷冻区1-1-C,1-1-C-02,TW125700193,-19.2,51,96,2026-03-18 10:44:13
2026-03-18 10:49:46,福建汉吉斯冷链物流有限公司,冷冻区1-1-A,1-1-A-01,TW125700177,-20.3,10,96,2026-03-18 10:41:57
2026-03-18 10:49:46,福建汉吉斯冷链物流有限公司,冷冻区1-1-A,1-1-A-02,TW125700107,-19.9,51,97,2026-03-18 10:34:47
2026-03-18 10:49:46,福建汉吉斯冷链物流有限公司,冷冻区1-1-B,1-1-B-01,TW125700122,-19.1,61,96,2026-03-18 10:43:02
2026-03-18 10:49:46,福建汉吉斯冷链物流有限公司,冷冻区1-1-B,1-1-B-02,TW125700178,-19.0,51,96,2026-03-18 10:43:58
2026-03-18 10:49:46,福建汉吉斯冷链物流有限公司,冷冻区1-1-C,1-1-C-01,TW125700279,-19.0,51,96,2026-03-18 10:47:39
2026-03-18 10:49:46,福建汉吉斯冷链物流有限公司,冷冻区1-1-C,1-1-C-02,TW125700193,-19.2,51,96,2026-03-18 10:44:13
2026-03-18 10:52:47,福建汉吉斯冷链物流有限公司,冷冻区1-1-A,1-1-A-01,TW125700177,-20.3,10,96,2026-03-18 10:41:57
2026-03-18 10:52:47,福建汉吉斯冷链物流有限公司,冷冻区1-1-A,1-1-A-02,TW125700107,-19.8,51,97,2026-03-18 10:49:47
2026-03-18 10:52:47,福建汉吉斯冷链物流有限公司,冷冻区1-1-B,1-1-B-01,TW125700122,-19.1,61,96,2026-03-18 10:43:02
2026-03-18 10:52:47,福建汉吉斯冷链物流有限公司,冷冻区1-1-B,1-1-B-02,TW125700178,-19.0,51,96,2026-03-18 10:43:58
2026-03-18 10:52:47,福建汉吉斯冷链物流有限公司,冷冻区1-1-C,1-1-C-01,TW125700279,-19.0,51,96,2026-03-18 10:47:39
2026-03-18 10:52:47,福建汉吉斯冷链物流有限公司,冷冻区1-1-C,1-1-C-02,TW125700193,-19.2,51,96,2026-03-18 10:44:13
2026-03-18 10:55:47,福建汉吉斯冷链物流有限公司,冷冻区1-1-A,1-1-A-01,TW125700177,-20.3,10,96,2026-03-18 10:41:57
2026-03-18 10:55:47,福建汉吉斯冷链物流有限公司,冷冻区1-1-A,1-1-A-02,TW125700107,-19.8,51,97,2026-03-18 10:49:47
2026-03-18 10:55:47,福建汉吉斯冷链物流有限公司,冷冻区1-1-B,1-1-B-01,TW125700122,-19.1,61,96,2026-03-18 10:43:02
2026-03-18 10:55:47,福建汉吉斯冷链物流有限公司,冷冻区1-1-B,1-1-B-02,TW125700178,-19.0,51,96,2026-03-18 10:43:58
2026-03-18 10:55:47,福建汉吉斯冷链物流有限公司,冷冻区1-1-C,1-1-C-01,TW125700279,-19.0,51,96,2026-03-18 10:47:39
2026-03-18 10:55:47,福建汉吉斯冷链物流有限公司,冷冻区1-1-C,1-1-C-02,TW125700193,-19.2,51,96,2026-03-18 10:44:13
2026-03-18 10:58:47,福建汉吉斯冷链物流有限公司,冷冻区1-1-A,1-1-A-01,TW125700177,-20.2,10,96,2026-03-18 10:56:57
2026-03-18 10:58:47,福建汉吉斯冷链物流有限公司,冷冻区1-1-A,1-1-A-02,TW125700107,-19.8,51,97,2026-03-18 10:49:47
2026-03-18 10:58:47,福建汉吉斯冷链物流有限公司,冷冻区1-1-B,1-1-B-01,TW125700122,-19.1,61,96,2026-03-18 10:43:02
2026-03-18 10:58:47,福建汉吉斯冷链物流有限公司,冷冻区1-1-B,1-1-B-02,TW125700178,-19.0,51,96,2026-03-18 10:43:58
2026-03-18 10:58:47,福建汉吉斯冷链物流有限公司,冷冻区1-1-C,1-1-C-01,TW125700279,-19.0,51,96,2026-03-18 10:47:39
